,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,870,0,15,15,1,1,91,0,7,0
Trouser,3,985,2,9,0,0,1,0,0,0
Pullover,25,1,832,13,72,0,54,0,3,0
Dress,25,11,9,916,25,0,13,0,1,0
Coat,3,0,60,33,851,0,52,0,1,0
Sandal,0,0,1,0,0,959,1,27,2,10
Shirt,122,0,64,24,52,0,731,0,7,0
Sneaker,0,0,0,0,0,12,0,954,0,34
Bag,4,0,5,2,1,1,4,2,980,1
Ankle boot,0,0,0,0,0,3,0,26,0,971
